Year, GDP, GDPchange, Consumption, Production, Unemployment, Debt
1997,"11,529.16",0,"6,757.32",80.75,0,"5,413.15"
1998,"12,045.82",0,"7,144.86",85.49,4.51,"5,526.19"
1999,"12,623.36",0,"7,635.19",89.24,0,"5,656.27"
2000,"13,138.04",0,"8,204.77",92.7,3.99,"5,674.18"
2001,"13,263.42",0,"8,611.95",89.78,4.73,"5,807.46"
2002,"13,488.36",66.14,"8,994.76",90.06,5.78,"6,228.24"
2003,"13,865.52",145.49,"9,487.13",91.21,5.99,"6,783.23"
2004,"14,399.70",118.55,"10,083.88",93.64,5.53,"7,379.05"
2005,"14,901.27",108.91,"10,731.09",96.77,5.08,"7,932.71"
2006,"15,315.94",98.1,"11,350.19",98.98,4.62,"8,506.97"
2007,"15,623.87",83.38,"11,945.13",101.49,4.62,"9,007.65"
2008,"15,642.96",-100.14,"12,403.52",97.99,5.78,"10,024.72"
2009,"15,236.26",3.14,"12,324.65",86.83,9.25,"11,909.83"
2010,"15,648.99",107.21,"12,771.30",91.63,9.63,"13,561.62"
2011,"15,891.53",60.18,"13,210.17",94.52,8.95,"14,790.34"
2012,"16,253.97",62.83,"13,562.80",97.4,8.07,"16,066.24"
2013,"16,553.35",103.18,"13,896.17",99.34,7.37,"16,738.18"
2014,"16,932.05",107.12,"14,413.98",102.31,6.17,"17,824.07"
2015,"17,390.30",0,"14,872.46",100.85,5.28,"18,150.62"
2016,"17,680.27",0,"15,356.37",98.66,4.87,"19,573.44"
2017,"18,079.08",0,"15,969.80",100,4.36,"20,244.90"
2018,"18,606.79",0,"16,782.95",103.18,3.9,"21,516.06"
2019,"19,032.67",0,"17,402.59",102.49,3.67,"22,719.40"
